time_stamp,latitude,longitude,height,speed,sensor_time_counter
1726037734.243748,35.45172406,139.63643384,42.609229,nan,0
1726037734.253698,35.45172389,139.63643424,42.608879,nan,0
1726037734.262302,35.45172371,139.63643463,42.608541,nan,0
1726037734.272100,35.45172354,139.63643503,42.608216,nan,0
1726037734.282165,35.45172336,139.63643543,42.607905,nan,0
1726037734.292397,35.45172319,139.63643582,42.607600,nan,0
1726037734.302214,35.45172302,139.63643622,42.607290,nan,0
1726037734.313746,35.45172284,139.63643661,42.606973,nan,0
1726037734.323165,35.45172267,139.63643701,42.606657,nan,0
1726037734.333905,35.45172249,139.63643741,42.606354,nan,0
1726037734.343761,35.45172232,139.63643781,42.606074,nan,0
1726037734.353559,35.45172214,139.63643820,42.605817,nan,0
1726037734.362372,35.45172197,139.63643860,42.605583,nan,0
1726037734.371919,35.45172179,139.63643900,42.605367,nan,0
1726037734.382339,35.45172161,139.63643940,42.605163,nan,0
1726037734.392212,35.45172144,139.63643980,42.604966,nan,0
1726037734.402376,35.45172126,139.63644020,42.604789,nan,0
1726037734.413573,35.45172109,139.63644060,42.604646,nan,0
1726037734.423738,35.45172091,139.63644100,42.604530,nan,0
1726037734.433401,35.45172073,139.63644140,42.604428,nan,0
1726037734.443584,35.45172055,139.63644180,42.604330,nan,0
1726037734.453809,35.45172038,139.63644221,42.604231,nan,0
1726037734.462604,35.45172020,139.63644261,42.604134,nan,0
1726037734.472361,35.45172002,139.63644301,42.604057,nan,0
1726037734.481899,35.45171984,139.63644342,42.604007,nan,0
1726037734.492545,35.45171967,139.63644382,42.603966,nan,0
1726037734.502332,35.45171949,139.63644422,42.603920,nan,0
1726037734.514321,35.45171931,139.63644463,42.603864,nan,0
1726037734.524938,35.45171913,139.63644504,42.603789,nan,0
1726037734.536294,35.45171890,139.63644538,42.623377,nan,0
1726037734.543913,35.45171872,139.63644578,42.623331,nan,0
1726037734.553735,35.45171855,139.63644619,42.623312,nan,0
1726037734.562331,35.45171837,139.63644660,42.623308,nan,0
1726037734.572226,35.45171819,139.63644701,42.623306,nan,0
1726037734.582253,35.45171801,139.63644742,42.623293,nan,0
1726037734.592177,35.45171783,139.63644782,42.623259,nan,0
1726037734.602342,35.45171765,139.63644823,42.623210,nan,0
1726037734.613741,35.45171747,139.63644864,42.623156,nan,0
1726037734.623522,35.45171729,139.63644905,42.623103,nan,0
1726037734.633962,35.45171712,139.63644947,42.623063,nan,0
1726037734.643199,35.45171694,139.63644988,42.623030,nan,0
1726037734.653708,35.45171676,139.63645029,42.622979,nan,0
1726037734.662813,35.45171658,139.63645070,42.622896,nan,0
1726037734.672385,35.45171640,139.63645111,42.622798,nan,0
1726037734.682336,35.45171622,139.63645153,42.622706,nan,0
1726037734.692020,35.45171604,139.63645194,42.622614,nan,0
1726037734.702438,35.45171586,139.63645236,42.622502,nan,0
1726037734.713559,35.45171568,139.63645277,42.622353,nan,0
1726037734.723810,35.45171550,139.63645319,42.622162,nan,0
1726037734.733740,35.45171531,139.63645361,42.621943,nan,0
1726037734.743436,35.45171513,139.63645402,42.621703,nan,0
1726037734.753582,35.45171495,139.63645444,42.621432,nan,0
1726037734.762438,35.45171477,139.63645486,42.621126,nan,0
1726037734.772223,35.45171459,139.63645528,42.620794,nan,0
1726037734.782358,35.45171441,139.63645569,42.620441,nan,0
1726037734.792007,35.45171423,139.63645611,42.620072,nan,0
1726037734.802298,35.45171404,139.63645653,42.619690,nan,0
1726037734.813836,35.45171386,139.63645695,42.619297,nan,0
1726037734.823637,35.45171368,139.63645737,42.618906,nan,0
1726037734.833792,35.45171350,139.63645779,42.618528,nan,0
1726037734.843565,35.45171331,139.63645821,42.618157,nan,0
1726037734.853528,35.45171313,139.63645863,42.617793,nan,0
1726037734.862990,35.45171295,139.63645906,42.617451,nan,0
1726037734.872448,35.45171276,139.63645948,42.617127,nan,0
1726037734.882442,35.45171258,139.63645990,42.616816,nan,0
1726037734.892271,35.45171239,139.63646033,42.616528,nan,0
1726037734.901984,35.45171221,139.63646075,42.616275,nan,0
1726037734.913605,35.45171203,139.63646118,42.616060,nan,0
1726037734.923922,35.45171184,139.63646160,42.615880,nan,0
1726037734.933750,35.45171166,139.63646203,42.615727,nan,0
1726037734.943753,35.45171147,139.63646245,42.615585,nan,0
1726037734.953266,35.45171129,139.63646288,42.615461,nan,0
1726037734.962383,35.45171110,139.63646331,42.615364,nan,0
1726037734.972474,35.45171092,139.63646374,42.615285,nan,0
1726037734.982203,35.45171073,139.63646417,42.615211,nan,0
1726037734.992335,35.45171055,139.63646460,42.615143,nan,0
